condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,38,38,0,25912.821,0.986,-0.168,-0.015,0.002,2645,663,1465,2855,1451,2172,105,2151,42,0.000,9,0,3.371,0.230,-0.560,0.400,-3.300,-0.112,0.011,1.016,-0.148,-0.176,-0.140,0.000,0.000,0.000,0.000,3,NULL,NULL,1042.000,0,0,0,7,255,0,250,0,0
baseline,38,38,0,25917.819,0.986,-0.168,-0.015,0.002,2645,661,1465,2844,1453,2175,105,2139,42,0.000,9,0,2.297,0.230,-0.940,-2.040,-0.480,-0.054,0.058,1.016,-0.148,-0.176,0.142,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,39,39,0,25922.821,0.986,-0.168,-0.015,0.002,2643,661,1463,2845,1453,2181,105,2151,42,0.000,9,0,2.942,0.134,0.100,0.020,2.940,-0.065,0.022,0.974,0.124,-0.050,0.142,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,39,39,0,25927.820,0.986,-0.168,-0.015,0.002,2641,663,1479,2857,1453,2183,101,2140,42,0.000,9,0,3.695,0.134,0.480,1.920,-3.120,-0.114,0.008,1.000,0.124,-0.050,0.028,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,47,47,0,25932.821,0.986,-0.168,-0.015,0.002,2649,658,1467,2855,1453,2183,107,2147,42,0.000,9,0,2.075,0.134,-0.440,-1.620,-1.220,-0.062,0.053,1.024,0.124,-0.050,0.028,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,47,47,0,25937.821,0.986,-0.168,-0.015,0.002,2652,663,1464,2854,1449,2174,103,2140,42,0.000,9,0,2.316,0.160,-0.560,-0.460,2.200,-0.077,0.011,0.983,0.022,-0.158,0.028,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,47,47,0,25942.821,0.986,-0.168,-0.015,0.002,2645,662,1469,2847,1459,2185,106,2139,42,0.000,9,0,2.779,0.023,0.220,1.060,-2.560,-0.090,0.027,1.001,0.022,-0.006,0.020,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,47,47,0,25947.819,0.986,-0.168,-0.015,0.002,2644,661,1469,2845,1452,2175,107,2141,42,0.000,9,0,1.350,0.023,-0.260,-0.820,1.040,-0.075,0.030,1.003,0.022,-0.006,0.020,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,79,79,0,25952.821,0.986,-0.168,-0.015,0.002,2652,659,1467,2845,1455,2175,107,2142,42,0.000,9,0,1.152,0.052,-0.500,0.340,-0.980,-0.085,0.023,0.997,-0.052,-0.006,0.020,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,79,79,0,25957.819,0.986,-0.168,-0.015,0.002,2653,658,1469,2844,1453,2179,101,2151,42,0.000,9,0,0.858,0.061,0.720,-0.400,-0.240,-0.073,0.032,1.002,0.056,0.024,0.016,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,95,95,0,25962.821,0.986,-0.168,-0.015,0.002,2637,655,1467,2845,1455,2181,105,2139,42,0.000,9,0,0.766,0.058,-0.500,0.400,-0.420,-0.084,0.021,0.999,-0.036,-0.046,-0.006,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,95,95,0,25967.819,0.986,-0.168,-0.015,0.002,2649,663,1465,2855,1453,2175,107,2143,42,0.000,9,0,0.564,0.061,0.160,-0.340,0.420,-0.076,0.037,1.005,0.042,0.044,0.016,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
