condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,47,47,0,30071.404,0.389,0.038,-0.247,-0.887,0,0,21,0,0,0,0,108,38,0.905,7,0,248.560,11.358,118.520,217.220,23.460,0.217,-0.095,1.873,3.678,10.746,4.336,2.974,0.130,0.632,0.652,0,NULL,NULL,1032.000,0,0,0,7,255,0,250,0,0
baseline,47,47,0,30076.404,0.384,0.044,-0.255,-0.886,0,0,23,0,0,0,0,107,38,0.905,7,0,244.311,11.708,115.280,211.480,40.920,0.321,-0.106,1.866,2.692,11.394,4.336,3.072,0.066,0.632,0.652,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,47,47,0,30081.406,0.379,0.049,-0.263,-0.886,0,0,22,0,0,0,0,104,38,0.905,7,0,246.844,12.461,114.420,209.040,64.360,0.279,-0.056,1.901,1.918,12.312,4.152,3.152,0.048,0.632,0.652,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,47,47,0,30086.404,0.374,0.054,-0.270,-0.886,0,0,19,0,0,0,0,104,38,0.905,7,0,242.527,12.461,106.500,206.000,71.000,0.173,-0.028,1.943,1.918,12.312,4.152,3.186,0.044,0.632,0.652,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,69,69,0,30091.404,0.369,0.059,-0.277,-0.885,0,0,20,0,0,0,0,101,38,0.905,7,0,231.897,12.429,92.580,202.760,63.980,0.125,-0.085,1.931,2.270,12.220,4.276,3.192,0.022,0.632,0.652,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,69,69,0,30096.404,0.364,0.064,-0.284,-0.885,0,0,23,0,0,0,0,97,38,0.905,7,0,221.572,12.494,84.880,196.220,58.200,0.163,-0.123,1.896,2.602,12.220,4.276,3.192,0.000,0.632,0.652,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,69,69,0,30101.404,0.359,0.069,-0.290,-0.885,0,0,26,0,0,0,0,93,38,0.905,7,0,215.124,12.966,84.040,188.040,62.100,0.232,-0.136,1.856,2.602,12.702,3.500,0.000,0.000,0.632,0.652,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,69,69,0,30106.404,0.354,0.073,-0.296,-0.884,0,0,23,0,0,0,0,99,38,0.905,7,0,210.153,13.351,80.440,181.640,68.560,0.225,-0.178,1.818,2.118,13.182,2.708,0.000,0.000,0.632,0.652,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,69,69,0,30111.405,0.349,0.078,-0.302,-0.884,0,0,24,0,0,0,0,98,38,0.905,7,0,200.634,13.499,75.300,175.100,62.640,0.195,-0.169,1.831,2.118,13.332,2.090,0.000,0.000,0.632,0.652,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,69,69,0,30116.404,0.344,0.082,-0.307,-0.883,0,0,27,0,0,0,0,103,38,0.905,7,0,188.704,13.556,74.500,163.640,57.280,0.294,-0.101,1.838,2.118,13.390,2.030,0.000,0.000,0.632,0.652,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
