condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,46,46,0,46,241286.811,-0.859,-0.158,-0.155,-0.463,0,0,2201,0,2747,0,2823,1323,28,0.535,26,0,281.995,10.595,-53.600,-276.740,7.940,-0.103,0.356,1.953,1.232,7.156,7.716,0.836,1.398,0.413,0.588,3,NULL,NULL,1068.000,0,0,0,7,255,0,250,0,0
baseline,46,46,0,46,241291.811,-0.856,-0.166,-0.165,-0.461,0,0,1999,0,2631,0,2787,1119,28,0.535,26,0,296.253,11.646,-62.760,-289.380,9.280,-0.106,0.370,2.024,1.568,8.338,7.978,0.840,1.410,0.413,0.588,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,46,46,0,46,241296.811,-0.854,-0.174,-0.174,-0.459,0,0,1795,0,2552,0,2765,951,28,0.535,26,0,299.168,12.314,-70.580,-290.720,-1.460,-0.071,0.269,2.152,1.568,9.082,8.166,0.844,1.422,0.413,0.588,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,46,46,0,46,241301.810,-0.850,-0.183,-0.184,-0.458,0,0,1593,0,2416,0,2743,797,28,0.535,26,0,308.972,13.048,-86.800,-296.100,-15.940,-0.033,0.095,2.161,0.650,9.082,9.346,0.850,1.434,0.413,0.588,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,62,62,0,62,241306.811,-0.847,-0.193,-0.193,-0.457,0,0,1381,0,2281,0,2647,661,28,0.535,26,0,318.018,12.633,-110.180,-297.740,-18.620,0.009,0.089,2.009,-0.548,8.482,9.346,0.854,1.446,0.413,0.588,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,62,62,0,62,241311.811,-0.843,-0.204,-0.201,-0.456,0,0,1111,0,2147,0,2578,547,28,0.535,26,0,331.055,11.451,-136.740,-300.480,-24.720,0.032,0.208,1.773,-0.548,8.098,8.078,0.858,1.458,0.413,0.588,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,62,62,0,62,241316.811,-0.838,-0.216,-0.209,-0.455,0,0,908,0,1959,0,2505,417,28,0.535,26,0,336.533,9.893,-143.940,-302.680,-30.340,0.007,0.184,1.646,0.476,8.090,5.674,0.862,1.470,0.413,0.588,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,62,62,0,62,241321.811,-0.834,-0.227,-0.218,-0.454,0,0,739,0,1765,0,2391,345,28,0.535,26,0,341.578,9.172,-129.540,-314.700,-29.300,-0.042,0.252,1.411,0.726,8.090,4.260,0.868,1.482,0.413,0.588,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,62,62,0,62,241326.811,-0.829,-0.237,-0.228,-0.453,0,0,587,0,1543,0,2259,277,28,0.535,26,0,349.836,8.285,-102.300,-332.600,-36.020,0.073,0.220,1.331,0.980,8.056,1.670,0.874,1.496,0.413,0.588,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,62,62,0,62,241331.811,-0.824,-0.246,-0.240,-0.451,0,0,473,0,1265,0,2058,209,28,0.535,26,0,365.002,7.332,-75.520,-355.240,-36.440,0.174,0.147,1.418,0.980,7.072,1.670,0.878,1.506,0.413,0.588,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,62,62,0,62,241336.811,-0.819,-0.255,-0.252,-0.448,0,0,333,0,1041,0,1809,169,28,0.535,26,0,362.793,7.344,-47.320,-359.140,-19.960,0.309,0.153,1.417,1.290,6.790,2.482,0.880,1.516,0.413,0.588,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,62,62,0,62,241341.811,-0.815,-0.262,-0.265,-0.444,0,0,240,0,808,0,1463,141,28,0.535,26,0,371.526,7.553,-7.160,-371.160,14.840,0.313,0.264,1.496,1.460,6.790,2.968,0.880,1.524,0.413,0.588,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,76,76,0,76,241346.811,-0.811,-0.269,-0.279,-0.438,0,0,161,0,619,0,1118,147,28,0.535,26,0,388.142,8.355,19.280,-382.640,62.200,0.222,0.225,1.662,1.460,7.548,3.272,0.878,1.530,0.413,0.588,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,76,76,0,76,241351.811,-0.809,-0.277,-0.292,-0.429,0,0,111,0,363,0,723,95,28,0.535,26,0,405.751,10.102,18.420,-390.020,110.360,0.069,0.231,1.850,0.756,9.280,3.918,0.876,1.534,0.413,0.588,4,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,76,76,0,76,241356.811,-0.806,-0.286,-0.305,-0.419,0,0,45,0,115,0,394,73,28,0.535,26,0,424.289,12.415,-15.020,-396.620,149.960,-0.084,0.306,1.898,-0.582,11.766,3.918,0.870,1.536,0.413,0.588,4,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,76,76,0,76,241361.811,-0.803,-0.297,-0.316,-0.410,0,0,0,0,28,0,45,29,28,0.535,26,0,429.367,14.112,-71.920,-395.100,151.920,-0.283,0.479,1.662,-0.582,13.768,3.044,0.864,1.536,0.413,0.588,4,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,91,91,0,91,241366.811,-0.799,-0.308,-0.326,-0.400,0,0,0,0,0,0,0,21,28,0.535,26,0,426.215,13.794,-93.040,-386.860,152.780,-0.197,0.580,1.333,-0.398,13.768,-0.750,0.854,1.534,0.413,0.588,4,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,91,91,0,91,241371.811,-0.795,-0.320,-0.336,-0.390,0,0,0,0,0,0,0,11,28,0.535,26,0,435.180,13.280,-94.860,-389.540,169.240,-0.197,0.495,1.237,0.744,12.868,-3.196,0.844,1.530,0.413,0.588,4,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,107,107,0,107,241376.811,-0.792,-0.332,-0.346,-0.379,0,0,0,0,0,0,0,0,28,0.535,26,0,430.398,13.529,-94.680,-378.000,182.740,-0.325,0.518,1.283,0.744,12.868,-4.110,0.830,1.522,0.413,0.588,4,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,107,107,0,107,241381.811,-0.788,-0.343,-0.354,-0.368,0,0,0,0,0,0,0,0,28,0.535,26,0,424.554,14.242,-115.120,-362.680,188.300,-0.469,0.570,1.207,0.016,13.266,-5.182,0.816,1.514,0.413,0.588,4,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,107,107,0,107,241386.811,-0.783,-0.358,-0.360,-0.359,0,0,0,0,0,0,0,0,28,0.535,26,0,414.579,15.133,-201.120,-316.000,177.680,-0.316,0.691,0.671,0.016,13.266,-7.282,0.798,1.504,0.413,0.588,4,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,107,107,0,107,241391.811,-0.779,-0.371,-0.363,-0.352,0,0,0,0,0,0,0,0,28,0.535,26,0,383.340,14.356,-222.860,-271.380,153.740,0.061,0.282,0.058,2.798,9.882,-10.030,0.782,1.492,0.413,0.588,4,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,139,139,0,139,241396.811,-0.775,-0.381,-0.367,-0.345,0,0,0,0,0,0,0,0,28,0.535,26,0,304.712,10.711,-142.340,-232.800,135.620,-0.171,-0.314,-0.269,2.798,1.770,-10.186,0.760,1.478,0.413,0.588,4,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,139,139,0,139,241401.811,-0.776,-0.386,-0.368,-0.338,0,0,0,0,0,0,0,0,28,0.535,26,0,202.949,12.125,-29.060,-110.060,168.020,-0.038,-0.031,-0.482,1.376,-2.778,-11.722,0.738,1.462,0.413,0.588,4,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,139,139,0,139,241406.811,-0.778,-0.387,-0.366,-0.332,0,0,0,0,0,0,0,0,28,0.535,26,0,141.933,13.070,15.120,-1.240,141.120,-0.448,0.213,-0.005,-0.156,-2.778,-12.770,0.716,1.446,0.413,0.588,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
