condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,44,44,0,44,21188.140,0.975,0.192,0.066,-0.087,59,0,0,587,0,56,0,0,47,0.304,11,0,30.386,2.228,-26.300,-5.580,-14.160,0.048,0.133,0.891,0.266,1.166,-1.880,0.000,0.000,0.153,0.108,0,NULL,NULL,1038.000,0,0,0,7,255,0,250,0,0
baseline,44,44,0,44,21193.140,0.975,0.193,0.066,-0.086,59,0,0,579,0,49,0,0,47,0.304,11,0,31.442,2.360,-27.080,-7.400,-14.160,0.017,0.128,0.872,-0.244,1.060,-2.094,0.000,0.000,0.153,0.108,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,45,45,0,45,21198.140,0.975,0.193,0.067,-0.086,56,0,0,580,0,45,0,0,47,0.304,11,0,31.229,2.503,-26.480,-10.400,-12.880,-0.069,0.123,0.857,-0.506,0.894,-2.282,0.000,0.000,0.153,0.108,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,45,45,0,45,21203.140,0.975,0.194,0.067,-0.085,57,0,0,571,0,48,0,0,47,0.304,11,0,30.329,2.934,-26.180,-13.200,-7.760,-0.092,0.166,0.839,-1.308,0.894,-2.470,0.000,0.000,0.153,0.108,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,47,47,0,47,21208.140,0.975,0.194,0.067,-0.085,55,0,0,559,0,47,0,0,47,0.304,11,0,29.116,3.288,-24.160,-13.380,-9.220,-0.171,0.150,0.785,-1.560,0.634,-2.824,0.000,0.000,0.153,0.108,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,47,47,0,47,21213.140,0.975,0.194,0.068,-0.085,51,0,0,557,0,53,0,0,47,0.304,11,0,34.425,4.019,-28.360,-19.440,-1.700,-0.199,0.139,0.764,-2.214,0.438,-3.326,0.000,0.000,0.153,0.108,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,47,47,0,47,21218.140,0.975,0.195,0.068,-0.085,51,0,0,549,0,45,0,0,47,0.304,11,0,32.606,4.278,-24.820,-17.960,-11.160,-0.264,0.137,0.767,-2.440,0.212,-3.508,0.000,0.000,0.153,0.108,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,47,47,0,47,21223.140,0.975,0.196,0.069,-0.085,52,0,0,500,0,86,0,0,47,0.304,11,0,40.200,4.665,-31.960,-24.380,-0.420,-0.290,0.115,0.774,-3.074,0.090,-3.508,0.000,0.000,0.153,0.108,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,47,47,0,47,21228.140,0.974,0.200,0.068,-0.086,45,0,0,467,0,119,0,0,47,0.304,11,0,105.497,4.761,-103.620,10.240,16.960,-0.545,-0.584,1.730,-3.312,-0.124,-3.418,0.000,0.000,0.153,0.108,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,47,47,0,47,21233.140,0.974,0.199,0.065,-0.085,55,1,0,463,0,139,0,0,47,0.304,11,0,54.915,7.659,21.920,48.800,-12.400,-1.181,0.168,1.750,-6.334,-0.124,4.304,0.000,0.000,0.153,0.108,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,79,79,0,79,21238.140,0.976,0.191,0.060,-0.086,51,0,0,467,0,169,0,0,47,0.304,11,0,162.006,9.973,145.220,62.960,34.540,-0.836,1.249,-0.189,-8.664,2.422,4.304,0.000,0.000,0.153,0.108,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,79,79,0,79,21243.140,0.975,0.193,0.056,-0.092,57,3,0,503,0,200,0,0,47,0.304,11,0,149.207,18.735,29.560,56.680,134.820,-0.195,-0.058,-0.768,-8.664,2.422,-16.434,0.000,0.000,0.153,0.108,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,79,79,0,79,21248.140,0.973,0.201,0.054,-0.095,52,8,26,583,0,252,0,0,47,0.304,11,0,192.357,17.931,-164.960,46.600,87.280,0.053,-0.707,0.213,0.138,-7.170,-16.434,0.000,0.000,0.153,0.108,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,79,79,0,79,21253.140,0.972,0.208,0.052,-0.094,88,10,121,679,0,310,0,0,47,0.304,11,0,191.410,8.660,-183.880,51.560,12.940,0.182,0.264,1.813,0.138,-7.170,-4.854,0.000,0.000,0.153,0.108,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,79,79,0,79,21258.140,0.972,0.210,0.050,-0.094,119,25,212,763,0,341,0,0,47,0.304,11,0,74.958,8.415,-51.920,54.060,0.680,0.164,0.505,1.970,-0.246,6.378,5.484,0.000,0.000,0.153,0.108,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
