condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,36,36,0,36,185133.080,0.931,-0.009,-0.001,0.365,687,182,69,1835,63,684,0,337,31,0.000,6,0,0.872,0.076,-0.480,0.580,-0.440,-0.015,0.041,1.005,0.018,-0.074,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,1206.000,0,0,0,7,255,0,250,0,0
baseline,36,36,0,36,185138.078,0.931,-0.009,-0.001,0.365,683,182,67,1824,67,681,0,331,31,0.000,6,0,0.555,0.098,0.180,0.500,0.160,-0.016,0.051,0.999,-0.064,-0.074,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,36,185143.078,0.931,-0.009,-0.001,0.365,688,181,67,1823,67,679,0,333,31,0.000,6,0,0.157,0.074,-0.060,-0.040,-0.140,-0.005,0.056,0.998,-0.064,-0.026,-0.026,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,36,185148.078,0.931,-0.009,-0.001,0.366,690,179,63,1829,64,681,0,331,31,0.000,6,0,0.958,0.067,-0.660,0.140,-0.680,-0.012,0.049,1.007,-0.056,-0.026,-0.026,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,36,185153.078,0.931,-0.009,-0.001,0.366,686,179,69,1824,67,681,0,333,31,0.000,6,0,0.892,0.050,0.620,0.640,0.040,-0.014,0.070,1.000,0.042,-0.026,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,36,185158.078,0.931,-0.009,-0.001,0.366,685,181,71,1831,61,678,0,331,31,0.000,6,0,0.469,0.103,0.440,0.140,-0.080,-0.003,0.072,0.986,0.070,0.076,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,63,185163.079,0.931,-0.009,-0.001,0.366,689,182,69,1833,59,677,0,331,31,0.000,6,0,1.712,0.109,-1.700,-0.040,-0.200,-0.004,0.046,0.998,0.070,0.076,-0.036,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,63,185168.078,0.931,-0.009,-0.001,0.366,683,176,63,1833,62,679,0,327,31,0.000,6,0,0.457,0.110,-0.060,0.320,-0.320,-0.003,0.063,1.011,0.104,0.002,-0.036,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,63,185173.080,0.931,-0.009,-0.001,0.366,685,180,68,1831,63,680,0,331,31,0.000,6,0,2.155,0.135,0.560,0.700,-1.960,-0.021,0.030,1.010,-0.018,-0.106,0.082,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,63,185178.078,0.931,-0.009,-0.001,0.366,686,181,65,1831,60,680,0,329,31,0.000,6,0,1.418,0.150,-0.660,0.640,1.080,-0.023,0.050,0.992,-0.126,0.002,0.082,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,63,185183.078,0.931,-0.009,-0.001,0.366,684,184,67,1831,67,679,0,329,31,0.000,6,0,0.736,0.162,0.680,-0.280,0.040,0.008,0.108,0.987,-0.126,0.042,-0.092,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,63,185188.078,0.931,-0.009,-0.001,0.366,685,181,62,1833,63,681,0,328,31,0.000,6,0,1.942,0.162,-1.460,0.320,-1.240,-0.013,0.016,1.017,-0.126,0.042,-0.092,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,81,81,0,81,185193.079,0.931,-0.009,-0.001,0.366,686,183,60,1832,58,681,0,331,31,0.000,6,0,1.038,0.162,-0.240,1.000,-0.140,-0.015,0.045,1.013,-0.102,-0.048,0.116,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,81,81,0,81,185198.078,0.931,-0.009,-0.001,0.366,685,175,71,1835,67,678,0,327,31,0.000,6,0,1.531,0.162,1.460,0.380,-0.260,-0.007,0.075,0.989,-0.102,-0.048,0.116,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,81,81,0,81,185203.079,0.931,-0.009,-0.001,0.366,686,183,69,1833,60,681,0,329,31,0.000,6,0,1.782,0.024,-1.040,-0.280,-1.420,-0.009,0.055,1.000,0.008,-0.022,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,81,81,0,81,185208.078,0.931,-0.009,-0.001,0.366,691,181,63,1839,59,683,0,330,31,0.000,6,0,1.775,0.024,0.000,1.360,1.140,-0.025,0.040,1.011,0.008,-0.022,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,81,81,0,81,185213.079,0.931,-0.009,-0.001,0.366,689,181,70,1837,64,679,0,331,31,0.000,6,0,0.912,0.024,0.300,-0.040,-0.860,0.010,0.077,0.995,0.008,-0.022,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,81,81,0,81,185218.078,0.931,-0.009,-0.002,0.366,691,180,71,1838,61,683,0,317,31,0.000,6,0,0.885,0.210,-0.420,0.380,-0.680,-0.030,0.033,1.003,-0.208,-0.024,0.016,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,95,95,0,95,185223.080,0.931,-0.009,-0.002,0.366,695,183,69,1849,61,683,0,331,31,0.000,6,0,1.117,0.227,0.240,0.820,0.720,0.004,0.074,1.002,0.226,0.016,0.014,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,95,95,0,95,185228.078,0.931,-0.009,-0.002,0.366,693,183,69,1849,60,679,0,329,31,0.000,6,0,1.642,0.279,-0.920,-0.040,-1.360,-0.017,0.021,1.006,-0.276,-0.036,0.016,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,113,113,0,113,185233.079,0.931,-0.009,-0.002,0.366,691,183,67,1843,60,679,0,330,31,0.000,6,0,2.324,0.231,2.020,1.120,-0.260,-0.012,0.093,1.003,0.226,0.030,0.036,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,113,113,0,113,185238.078,0.931,-0.009,-0.002,0.366,691,180,71,1844,61,681,0,329,31,0.000,6,0,1.253,0.266,-1.100,0.020,0.600,-0.013,0.029,0.988,-0.194,-0.178,0.036,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,113,113,0,113,185243.078,0.931,-0.009,-0.002,0.366,693,183,64,1847,56,677,0,327,31,0.000,6,0,1.152,0.279,0.440,0.940,-0.500,-0.003,0.083,1.007,0.238,0.142,0.036,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,113,113,0,113,185248.078,0.931,-0.009,-0.002,0.366,693,181,71,1840,61,679,0,329,31,0.000,6,0,0.533,0.222,-0.420,0.260,-0.200,-0.016,0.034,0.999,-0.178,-0.130,-0.026,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,159,159,0,159,185253.080,0.931,-0.009,-0.002,0.366,693,183,63,1844,57,677,0,327,31,0.000,6,0,0.887,0.064,0.440,0.700,-0.320,-0.010,0.060,1.006,0.034,0.020,0.050,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,159,159,0,159,185258.078,0.931,-0.009,-0.002,0.366,695,179,67,1845,59,672,0,325,31,0.000,6,0,0.638,0.022,0.440,0.440,-0.140,-0.020,0.066,1.000,0.008,0.020,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,159,159,0,159,185263.080,0.931,-0.009,-0.002,0.366,701,181,67,1851,59,679,0,324,31,0.000,6,0,0.738,0.022,-0.180,0.580,0.420,-0.010,0.043,0.997,0.008,0.020,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,159,159,0,159,185268.078,0.931,-0.009,-0.002,0.366,693,184,70,1847,55,675,0,325,31,0.000,6,0,0.533,0.075,0.180,0.500,0.040,-0.013,0.066,1.010,0.008,0.074,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
