condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,51,51,0,51,46471.794,-0.877,-0.186,-0.230,-0.379,0,0,753,0,1019,0,765,461,29,0.509,5,0,229.416,2.649,-14.938,-227.188,28.188,0.427,-0.019,1.160,-0.400,1.892,1.810,0.964,0.352,0.128,0.581,0,NULL,NULL,364.000,0,0,0,7,255,0,250,0,0
baseline,51,51,0,51,46476.793,-0.875,-0.191,-0.238,-0.376,0,0,636,0,874,0,662,361,29,0.509,5,0,231.470,3.194,-15.563,-228.250,35.188,0.508,0.068,1.143,0.160,2.490,1.994,0.998,0.370,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,51,51,0,51,46481.794,-0.873,-0.194,-0.246,-0.373,0,0,503,0,710,0,566,299,29,0.509,5,0,230.369,3.375,-3.938,-227.813,34.000,0.477,0.006,1.185,0.300,2.658,2.058,1.028,0.384,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,51,51,0,51,46486.793,-0.871,-0.199,-0.255,-0.369,0,0,394,0,549,0,472,273,29,0.509,5,0,231.609,3.734,-7.375,-226.875,46.000,0.487,0.079,1.218,0.674,2.846,2.322,1.052,0.388,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,51,51,0,51,46491.794,-0.870,-0.203,-0.263,-0.365,0,0,313,0,409,0,309,199,29,0.509,5,0,235.146,4.411,-12.313,-227.500,58.188,0.502,0.075,1.219,0.592,3.602,2.476,1.058,0.378,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,51,51,0,51,46496.793,-0.868,-0.208,-0.270,-0.361,0,0,230,0,299,0,201,141,29,0.509,5,0,238.440,4.411,-23.375,-228.375,64.438,0.476,0.014,1.112,0.592,3.602,2.476,1.036,0.348,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,51,51,0,51,46501.794,-0.866,-0.214,-0.278,-0.356,0,0,165,0,200,0,69,123,29,0.509,5,0,241.474,4.001,-30.938,-227.063,76.125,0.438,0.102,1.024,0.592,3.636,1.562,1.000,0.308,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,51,51,0,51,46506.794,-0.865,-0.219,-0.285,-0.351,0,0,117,0,107,0,0,99,29,0.509,5,0,245.851,3.721,-32.500,-227.563,87.188,0.441,0.176,0.985,0.650,3.636,0.448,0.958,0.274,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,51,51,0,51,46511.793,-0.863,-0.225,-0.292,-0.345,0,0,84,0,21,0,0,91,29,0.509,5,0,246.052,4.148,-36.375,-228.938,82.500,0.378,0.158,0.922,0.780,4.074,-0.040,0.924,0.258,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,51,51,0,51,46516.794,-0.861,-0.231,-0.299,-0.340,0,0,60,0,0,0,0,61,29,0.509,5,0,253.430,4.376,-36.500,-230.688,98.375,0.375,0.208,0.881,1.138,4.122,-0.928,0.900,0.256,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,97,97,0,97,46521.793,-0.859,-0.237,-0.307,-0.334,0,0,41,0,0,0,0,39,29,0.509,5,0,258.191,4.430,-41.125,-235.250,98.125,0.359,0.120,0.785,0.780,4.122,-1.424,0.882,0.266,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,97,97,0,97,46526.794,-0.857,-0.243,-0.314,-0.327,0,0,19,0,0,0,0,0,29,0.509,5,0,261.668,4.331,-36.875,-236.125,106.563,0.341,0.136,0.757,0.632,3.716,-2.132,0.872,0.284,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,97,97,0,97,46531.794,-0.856,-0.249,-0.321,-0.321,0,0,9,0,0,0,0,0,29,0.509,5,0,267.063,4.399,-40.813,-239.188,111.563,0.333,0.098,0.710,0.626,3.532,-2.546,0.864,0.300,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,98,98,0,98,46536.793,-0.853,-0.255,-0.328,-0.314,0,0,0,0,0,0,0,0,29,0.509,5,0,266.911,4.766,-38.813,-240.188,109.750,0.330,0.205,0.727,0.632,3.716,-2.916,0.856,0.310,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,98,98,0,98,46541.794,-0.851,-0.261,-0.336,-0.308,0,0,0,0,0,0,0,0,29,0.509,5,0,266.326,4.475,-33.938,-243.563,102.250,0.454,0.009,0.709,0.386,3.372,-2.916,0.850,0.314,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,98,98,0,98,46546.793,-0.849,-0.266,-0.343,-0.301,0,0,0,0,0,0,0,0,29,0.509,5,0,274.893,4.137,-23.125,-247.438,117.500,0.378,0.013,0.784,0.336,3.530,-2.130,0.844,0.310,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,98,98,0,98,46551.794,-0.847,-0.272,-0.350,-0.294,0,0,0,0,0,0,0,0,29,0.509,5,0,272.794,3.634,-32.313,-242.688,120.313,0.516,-0.029,0.797,-0.036,3.002,-2.048,0.840,0.304,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,98,98,0,98,46556.793,-0.844,-0.278,-0.357,-0.286,0,0,0,0,0,0,0,0,29,0.509,5,0,275.582,3.357,-33.438,-236.875,136.813,0.513,-0.034,0.794,-0.156,3.146,-1.160,0.842,0.290,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,98,98,0,98,46561.794,-0.842,-0.284,-0.363,-0.278,0,0,0,0,0,11,0,0,29,0.509,5,0,271.174,3.353,-30.875,-229.375,141.313,0.521,0.050,0.764,-0.036,3.146,-1.160,0.846,0.266,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,98,98,0,98,46566.793,-0.841,-0.289,-0.369,-0.271,0,0,0,0,0,16,0,0,29,0.509,5,0,257.176,3.830,-22.313,-218.063,134.500,0.592,0.033,0.939,0.024,3.650,-1.160,0.852,0.234,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,129,129,0,129,46571.794,-0.838,-0.296,-0.374,-0.264,0,0,0,0,0,19,0,0,29,0.509,5,0,246.112,4.654,-52.063,-197.063,137.938,0.620,0.048,1.005,0.024,4.654,-0.040,0.856,0.200,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,129,129,0,129,46576.793,-0.837,-0.303,-0.377,-0.257,0,0,0,0,0,19,0,0,29,0.509,5,0,248.526,4.654,-101.938,-165.375,155.000,0.613,0.044,0.740,0.024,4.654,-0.040,0.862,0.166,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,129,129,0,129,46581.794,-0.835,-0.313,-0.377,-0.251,0,0,0,0,0,21,0,0,29,0.509,5,0,258.005,4.037,-144.688,-117.250,178.563,0.384,0.113,0.339,0.968,3.708,-1.268,0.874,0.134,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,129,129,0,129,46586.793,-0.834,-0.323,-0.375,-0.245,0,0,0,0,0,5,0,0,29,0.509,5,0,273.580,6.152,-177.813,-59.188,199.313,0.149,0.013,-0.354,1.704,2.116,-5.520,0.886,0.104,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,150,150,0,150,46591.794,-0.834,-0.331,-0.371,-0.239,0,0,0,0,0,0,0,0,29,0.509,5,0,245.206,11.404,-142.750,-13.125,198.938,0.143,0.071,-0.659,2.454,-2.788,-10.782,0.900,0.078,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,150,150,0,150,46596.794,-0.837,-0.333,-0.366,-0.235,0,0,0,0,0,0,0,0,29,0.509,5,0,166.217,14.043,-40.000,72.000,144.375,-0.135,0.131,-0.988,3.828,-4.572,-12.714,0.912,0.056,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,150,150,0,150,46601.794,-0.841,-0.329,-0.362,-0.232,0,0,0,0,0,0,0,0,29,0.509,5,0,175.775,14.043,117.688,104.375,78.438,-0.163,-0.102,0.208,3.828,-4.572,-12.714,0.922,0.040,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,150,150,0,150,46606.793,-0.845,-0.324,-0.357,-0.231,0,0,0,0,0,0,0,0,29,0.509,5,0,203.422,9.824,108.375,158.813,66.438,-0.102,-0.247,0.868,-2.492,1.056,-9.444,0.930,0.030,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,150,150,0,150,46611.794,-0.850,-0.321,-0.349,-0.229,0,0,0,0,0,0,0,0,29,0.509,5,0,220.379,8.650,62.188,188.625,95.500,-0.169,-0.222,0.594,-4.718,2.888,-6.650,0.936,0.030,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,150,150,0,150,46616.794,-0.855,-0.317,-0.341,-0.229,0,0,0,0,0,0,0,0,29,0.509,5,0,220.614,8.650,56.125,205.250,58.250,-0.342,-0.117,0.368,-4.718,2.888,-6.650,0.944,0.034,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,195,195,0,195,46621.794,-0.860,-0.313,-0.333,-0.229,0,0,0,0,0,0,0,0,29,0.509,5,0,242.848,10.827,76.000,222.125,62.125,-0.627,0.164,0.271,-4.378,2.888,-9.472,0.952,0.040,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,195,195,0,195,46626.794,-0.865,-0.307,-0.325,-0.230,0,0,0,0,0,0,0,0,29,0.509,5,0,260.740,13.763,99.750,239.250,28.188,-0.616,0.202,0.354,-4.346,4.320,-12.324,0.960,0.046,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,218,218,0,218,46631.794,-0.869,-0.300,-0.316,-0.233,0,0,0,0,0,0,0,0,29,0.509,5,0,284.701,13.756,99.938,266.563,-3.375,-0.412,0.090,0.293,-4.324,4.320,-12.324,0.970,0.052,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,218,218,0,218,46636.793,-0.874,-0.293,-0.308,-0.235,0,0,0,0,0,0,0,0,29,0.509,5,0,273.840,12.782,115.750,247.750,-14.500,-0.608,-0.005,0.919,-4.346,5.162,-10.856,0.978,0.058,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,218,218,0,218,46641.794,-0.878,-0.286,-0.300,-0.238,0,0,0,0,0,0,0,0,29,0.509,5,0,269.878,11.088,114.625,243.188,-23.563,-0.467,-0.022,0.687,-5.686,5.394,-7.844,0.986,0.064,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,218,218,0,218,46646.793,-0.882,-0.279,-0.293,-0.242,0,0,0,0,0,0,0,0,29,0.509,5,0,260.088,11.177,91.688,239.563,-43.000,-0.487,-0.004,0.735,-5.826,5.866,-7.522,0.996,0.066,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,218,218,0,218,46651.794,-0.885,-0.273,-0.285,-0.247,0,0,0,0,0,0,0,0,29,0.509,5,0,256.067,11.088,80.938,236.500,-55.563,-0.450,-0.066,0.588,-5.686,5.394,-7.844,1.004,0.068,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,218,218,0,218,46656.793,-0.888,-0.266,-0.278,-0.251,0,0,0,0,0,0,0,0,29,0.509,5,0,261.340,10.613,88.813,237.625,-62.813,-0.411,-0.054,0.516,-5.412,4.428,-7.984,1.016,0.070,0.128,0.581,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
