condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,36,36,0,36,65550.354,-0.373,0.481,-0.627,-0.487,2533,1251,2283,2843,2485,1609,1555,2101,34,0.000,2,0,5.224,0.107,5.125,-0.938,-0.375,0.023,0.996,-0.211,-0.098,0.043,-0.012,0.000,0.000,0.000,0.000,0,NULL,NULL,1150.000,0,0,0,7,255,0,250,0,0
baseline,36,36,0,36,65555.327,-0.373,0.481,-0.627,-0.487,2523,1243,2277,2840,2477,1599,1545,2093,34,0.000,2,0,5.167,0.131,5.063,-0.938,-0.438,0.008,0.996,-0.199,-0.117,0.043,0.039,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,36,65560.313,-0.373,0.481,-0.627,-0.487,2533,1237,2270,2823,2468,1594,1529,2085,34,0.000,2,0,5.381,0.191,5.375,-0.250,0.000,0.016,1.000,-0.203,-0.172,0.070,0.043,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,36,65565.313,-0.372,0.481,-0.627,-0.487,2530,1215,2263,2843,2440,1582,1527,2073,34,0.000,2,0,5.557,0.194,5.313,-1.625,-0.125,0.016,1.008,-0.211,-0.172,0.070,0.055,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,36,65570.351,-0.372,0.481,-0.627,-0.486,2531,1209,2249,2826,2451,1567,1515,2063,34,0.000,2,0,6.441,0.196,6.438,-0.188,-0.125,0.004,1.000,-0.195,-0.172,0.070,0.063,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,36,65575.351,-0.372,0.481,-0.627,-0.486,2526,1193,2245,2843,2442,1555,1507,2029,34,0.000,2,0,6.960,0.199,6.938,-0.500,0.250,0.023,1.008,-0.215,-0.121,0.063,0.145,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,36,65580.313,-0.372,0.481,-0.627,-0.486,2524,1177,2231,2840,2427,1529,1494,2019,34,0.000,2,0,7.940,0.328,7.938,-0.063,-0.188,0.000,1.012,-0.203,-0.188,0.219,0.156,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,38,38,0,38,65585.349,-0.372,0.481,-0.628,-0.486,2523,1161,2216,2839,2413,1507,1477,2015,34,0.000,2,0,8.731,0.195,8.688,0.438,0.750,0.027,1.000,-0.215,-0.117,-0.004,0.156,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,38,38,0,38,65590.317,-0.372,0.482,-0.628,-0.486,2520,1133,2200,2836,2393,1491,1443,2003,34,0.000,2,0,9.565,0.220,9.563,-0.188,-0.125,0.016,1.004,-0.207,-0.168,0.090,0.109,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,38,38,0,38,65595.313,-0.371,0.482,-0.628,-0.485,2515,1103,2183,2837,2375,1471,1403,1980,34,0.000,2,0,9.392,0.165,9.375,-0.250,0.500,0.031,0.988,-0.211,-0.137,-0.043,0.082,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
