condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,31,31,0,711872.376,0.991,-0.003,0.082,0.103,73,61,85,63,30,9,70,46,0,0.000,0,0,0.141,0.043,0.080,0.100,0.060,-0.049,0.008,1.000,0.042,-0.008,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,1010.000,1,0,0,7,255,,0,0,0
stim,31,31,0,711877.374,0.991,-0.003,0.082,0.103,77,78,51,37,35,0,29,8,0,0.000,0,0,0.496,0.043,0.140,0.460,0.120,-0.050,0.006,0.999,0.042,-0.008,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,31,31,0,711882.374,0.991,-0.003,0.082,0.103,51,59,73,67,17,0,37,39,0,0.000,0,0,0.609,0.035,0.380,0.460,0.120,-0.052,0.006,0.998,0.034,-0.006,-0.010,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,31,31,0,711887.374,0.991,-0.003,0.082,0.103,47,57,73,67,21,0,37,42,0,0.000,0,0,0.429,0.017,0.380,0.160,0.120,-0.053,0.009,1.000,0.016,-0.006,-0.010,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,31,31,0,711892.374,0.991,-0.003,0.082,0.103,64,78,46,56,8,0,31,24,0,0.000,0,0,0.361,0.029,0.260,-0.220,0.120,-0.053,0.011,1.002,0.012,0.026,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,47,47,0,711897.374,0.991,-0.003,0.082,0.103,69,82,47,59,25,0,30,20,0,0.000,0,0,0.552,0.038,0.140,-0.520,0.120,-0.052,0.011,1.002,0.012,0.036,0.024,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,47,47,0,711902.374,0.991,-0.003,0.082,0.103,73,56,51,61,17,0,29,33,0,0.000,0,0,0.471,0.041,0.080,-0.460,0.060,-0.049,0.007,1.000,0.020,0.036,0.024,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,47,47,0,711907.374,0.991,-0.003,0.082,0.103,59,57,53,59,10,0,25,29,0,0.000,0,0,0.319,0.040,0.140,-0.280,0.060,-0.049,0.006,1.000,0.040,-0.002,0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,47,47,0,711912.375,0.991,-0.003,0.082,0.103,59,53,72,69,16,0,25,33,0,0.000,0,0,0.399,0.041,0.380,-0.020,0.120,-0.049,0.006,0.998,0.040,-0.010,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,47,47,0,711917.376,0.991,-0.003,0.082,0.103,79,70,80,61,20,0,43,42,0,0.000,0,0,0.524,0.037,0.440,0.220,0.180,-0.052,0.007,0.999,0.036,-0.010,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,0,7,255,,0,0,0
