condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,45,45,0,7977.374,0.994,0.013,0.105,-0.002,83,99,72,73,41,17,55,50,0,0.000,0,0,0.028,0.008,-0.020,0.000,0.020,-0.003,-0.036,1.002,0.008,0.002,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,1188.000,0,0,0,7,255,0,250,0,0
baseline,45,45,0,7982.373,0.994,0.013,0.105,-0.002,73,91,61,75,53,10,46,21,0,0.000,0,0,0.089,0.008,0.040,0.000,0.080,-0.004,-0.036,1.001,0.008,-0.002,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,45,45,0,7987.374,0.994,0.013,0.105,-0.002,74,75,67,71,37,15,52,50,0,0.000,0,0,0.066,0.003,-0.020,0.060,0.020,-0.004,-0.035,1.001,-0.002,-0.002,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,45,45,0,7992.373,0.994,0.013,0.105,-0.002,63,72,87,52,43,9,88,51,0,0.000,0,0,0.028,0.003,-0.020,0.000,0.020,-0.004,-0.036,1.001,-0.002,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,47,47,0,7997.374,0.994,0.013,0.105,-0.002,31,73,89,45,42,11,74,21,0,0.000,0,0,0.082,0.003,-0.080,0.000,0.020,-0.003,-0.036,1.001,-0.002,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,47,47,0,8002.373,0.994,0.013,0.105,-0.002,81,79,61,72,35,17,48,47,0,0.000,0,0,0.045,0.003,0.040,0.000,0.020,-0.003,-0.035,1.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,47,47,0,8007.373,0.994,0.013,0.105,-0.002,55,74,91,28,45,16,77,45,0,0.000,0,0,0.066,0.003,-0.020,0.060,0.020,-0.004,-0.036,1.000,0.002,0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,47,47,0,8012.373,0.994,0.013,0.105,-0.002,79,95,63,69,57,27,47,25,0,0.000,0,0,0.108,0.006,-0.080,0.060,-0.040,-0.003,-0.035,1.001,0.002,0.006,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,8017.373,0.994,0.013,0.105,-0.002,51,74,91,45,61,16,77,40,0,0.000,0,0,0.066,0.006,-0.020,0.060,0.020,-0.004,-0.035,1.001,-0.002,0.006,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,8022.373,0.994,0.013,0.105,-0.002,54,73,89,71,37,8,56,52,0,0.000,0,0,0.028,0.006,-0.020,0.000,0.020,-0.004,-0.036,1.001,-0.002,0.006,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,8027.373,0.994,0.013,0.105,-0.002,51,72,88,43,60,11,75,39,0,0.000,0,0,0.089,0.003,0.040,0.000,0.080,-0.004,-0.036,1.001,-0.002,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,8032.373,0.994,0.013,0.105,-0.002,55,71,91,53,43,9,75,33,0,0.000,0,0,0.082,0.003,-0.020,0.000,0.080,-0.003,-0.035,1.001,-0.002,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,8037.375,0.994,0.013,0.105,-0.002,51,72,93,29,73,13,75,19,0,0.000,0,0,0.028,0.003,-0.020,0.000,0.020,-0.004,-0.036,1.000,-0.002,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,8042.373,0.994,0.013,0.105,-0.002,66,74,91,43,57,26,77,23,0,0.000,0,0,0.028,0.003,-0.020,0.000,0.020,-0.003,-0.036,1.001,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,85,85,0,8047.373,0.994,0.013,0.105,-0.002,59,95,87,45,57,25,75,25,0,0.000,0,0,0.028,0.008,-0.020,0.000,0.020,-0.003,-0.036,1.000,0.008,0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,85,85,0,8052.373,0.994,0.013,0.105,-0.002,77,97,69,45,61,35,71,25,0,0.000,0,0,0.057,0.008,0.040,0.000,-0.040,-0.003,-0.037,1.001,0.008,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,95,95,0,8057.373,0.994,0.013,0.105,-0.002,50,71,91,43,43,11,75,41,0,0.000,0,0,0.045,0.003,-0.020,0.000,-0.040,-0.004,-0.036,1.000,0.002,0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
