condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,0,0,0,375987.373,0.967,-0.145,-0.084,0.190,51,68,35,40,41,0,54,30,0,0.000,0,0,402.783,1.250,-211.920,-336.360,64.700,-0.260,0.130,0.898,0.656,-1.064,-1.172,0.000,0.000,0.000,0.000,0,NULL,NULL,1188.000,1,0,3,7,255,,250,0,0
stim,0,0,0,375992.373,0.970,-0.135,-0.072,0.187,59,57,51,67,8,0,29,37,0,0.000,0,0,384.437,1.751,-209.540,-317.120,57.620,-0.229,0.105,0.964,0.946,-1.474,-0.726,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,15,15,0,375997.374,0.973,-0.125,-0.060,0.184,61,75,48,27,33,0,56,8,0,0.000,0,0,367.996,2.086,-205.880,-300.900,49.940,-0.207,0.100,1.017,1.110,-1.766,-0.264,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,15,15,0,376002.373,0.975,-0.115,-0.049,0.181,46,67,83,40,44,9,69,35,0,0.000,0,0,353.298,2.160,-201.040,-287.460,42.060,-0.193,0.107,1.066,1.244,-1.766,0.168,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,15,15,0,376007.373,0.977,-0.105,-0.038,0.179,75,87,48,60,31,1,31,21,0,0.000,0,0,340.991,2.087,-194.640,-278.000,33.260,-0.196,0.095,1.110,1.244,-1.676,0.646,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,15,15,0,376012.373,0.979,-0.095,-0.027,0.177,71,60,57,66,23,0,39,43,0,0.000,0,0,329.259,2.022,-184.080,-271.840,25.080,-0.221,0.077,1.147,1.178,-1.644,1.096,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,51,51,0,376017.373,0.981,-0.086,-0.017,0.176,69,61,57,63,24,0,39,40,0,0.000,0,0,319.768,1.766,-173.340,-267.940,20.320,-0.247,0.088,1.157,0.780,-1.584,1.528,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,51,51,0,376022.373,0.982,-0.078,-0.007,0.174,55,88,72,38,30,0,52,13,0,0.000,0,0,311.655,1.254,-165.580,-263.180,21.180,-0.253,0.126,1.148,0.414,-1.184,1.746,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,51,51,0,376027.373,0.983,-0.069,0.003,0.172,63,83,43,31,43,2,37,7,0,0.000,0,0,305.321,0.618,-159.600,-258.960,26.240,-0.248,0.148,1.146,0.266,-0.558,1.766,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,51,51,0,376032.373,0.983,-0.061,0.014,0.170,69,61,57,61,21,0,36,41,0,0.000,0,0,299.731,0.229,-151.920,-256.220,33.320,-0.233,0.138,1.143,0.184,-0.136,1.766,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
