condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,15,15,1,2185849.465,-0.965,0.017,0.093,-0.245,1705,0,9,1820,1689,482,0,689,5,0.000,433,1,2.150,0.170,0.040,1.520,1.520,-0.180,-0.034,0.981,0.166,0.036,-0.046,0.000,0.000,0.002,0.000,2,NULL,NULL,1198.000,2,1,3,7,255,450,150,139,0
stim,15,15,1,2185854.465,-0.965,0.017,0.093,-0.245,1689,0,9,1817,1617,477,0,690,5,0.000,433,1,1.561,0.137,-0.580,1.280,0.680,-0.195,-0.036,0.993,-0.062,-0.122,-0.044,0.000,0.000,0.002,0.000,2,NULL,NULL,,2,1,3,7,255,450,150,144,0
stim,15,15,1,2185859.465,-0.965,0.017,0.093,-0.245,1695,0,8,1822,1625,477,0,691,5,0.000,433,1,1.009,0.137,-0.320,0.860,-0.420,-0.195,-0.007,0.995,-0.062,-0.122,0.096,0.000,0.000,0.002,0.000,2,NULL,NULL,,2,1,3,7,255,450,150,149,0
stim,15,15,0,2185864.468,-0.965,0.017,0.093,-0.245,1696,0,18,1816,1643,482,0,685,5,0.000,433,1,0.799,0.127,0.040,0.740,-0.300,-0.181,0.012,0.986,-0.034,0.122,0.096,0.000,0.000,0.002,0.000,2,NULL,NULL,,2,0,3,7,255,450,150,0,0
stim,63,63,0,2185869.465,-0.965,0.017,0.093,-0.245,1701,0,9,1813,1755,473,0,681,5,0.000,433,1,1.146,0.143,0.160,0.860,0.740,-0.176,-0.010,0.975,0.074,0.122,0.002,0.000,0.000,0.002,0.000,2,NULL,NULL,,2,0,3,7,255,450,150,0,0
stim,63,63,0,2185874.465,-0.965,0.017,0.093,-0.244,1702,0,12,1813,1776,476,0,679,5,0.000,433,1,1.475,0.077,-0.080,1.100,0.980,-0.182,-0.032,0.977,0.074,0.020,-0.084,0.000,0.000,0.002,0.000,2,NULL,NULL,,2,0,3,7,255,450,150,0,0
stim,83,83,0,2185879.466,-0.965,0.017,0.093,-0.244,1692,0,9,1817,1799,476,0,677,5,0.000,433,1,1.149,0.088,-0.140,1.100,0.300,-0.188,-0.024,0.989,-0.064,-0.060,-0.084,0.000,0.000,0.002,0.000,2,NULL,NULL,,2,0,3,7,255,450,150,0,0
stim,83,83,0,2185884.465,-0.965,0.017,0.093,-0.244,1691,0,16,1817,1783,477,0,676,5,0.000,433,1,0.971,0.088,-0.080,0.960,-0.120,-0.188,-0.009,0.991,-0.064,-0.060,0.044,0.000,0.000,0.002,0.000,2,NULL,NULL,,2,0,3,7,255,450,150,0,0
stim,83,83,0,2185889.465,-0.965,0.017,0.093,-0.244,1693,0,11,1819,1783,481,0,680,5,0.000,433,1,0.988,0.069,-0.200,0.960,0.120,-0.186,-0.007,0.989,0.012,0.068,0.044,0.000,0.000,0.002,0.000,2,NULL,NULL,,2,0,3,7,255,450,150,0,0
stim,83,83,0,2185894.465,-0.965,0.017,0.093,-0.244,1703,0,11,1824,1784,480,0,683,5,0.000,433,1,1.082,0.069,-0.200,1.020,0.300,-0.185,-0.011,0.986,0.014,0.068,0.038,0.000,0.000,0.002,0.000,2,NULL,NULL,,2,0,3,7,255,450,150,0,0
