condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,15,15,0,134457.373,0.992,0.024,0.104,0.064,51,70,85,43,35,17,71,40,0,0.000,0,0,0.128,0.008,-0.120,-0.040,-0.020,-0.002,-0.042,1.001,-0.006,-0.006,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,1188.000,1,0,1,7,255,,250,0,0
stim,15,15,0,134462.373,0.992,0.024,0.104,0.064,41,85,81,49,43,6,62,25,0,0.000,0,0,0.075,0.008,-0.060,-0.040,-0.020,-0.003,-0.042,1.001,-0.006,-0.006,0.012,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,47,47,0,134467.373,0.992,0.024,0.104,0.064,71,88,61,40,47,11,69,20,0,0.000,0,0,0.102,0.006,-0.060,0.020,-0.080,-0.003,-0.042,1.000,-0.002,-0.006,0.012,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,47,47,0,134472.373,0.992,0.024,0.104,0.064,47,53,83,40,43,7,68,36,0,0.000,0,0,0.066,0.003,-0.060,0.020,-0.020,-0.003,-0.041,1.000,-0.002,-0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,47,47,0,134477.376,0.992,0.024,0.104,0.064,77,89,57,73,43,12,41,27,0,0.000,0,0,0.045,0.003,0.000,0.020,0.040,-0.003,-0.042,1.000,-0.002,-0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,47,47,0,134482.373,0.992,0.024,0.104,0.064,70,67,61,68,28,0,43,42,0,0.000,0,0,0.123,0.003,-0.120,0.020,-0.020,-0.003,-0.041,1.000,-0.002,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,47,47,0,134487.373,0.992,0.024,0.104,0.064,87,71,59,63,30,0,39,47,0,0.000,0,0,0.123,0.003,-0.120,0.020,-0.020,-0.002,-0.042,1.000,-0.002,-0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,47,47,0,134492.373,0.992,0.024,0.104,0.064,75,89,57,43,52,17,59,18,0,0.000,0,0,0.128,0.002,-0.120,0.020,0.040,-0.003,-0.041,1.000,0.000,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,64,64,0,134497.373,0.992,0.024,0.104,0.064,80,89,56,69,43,13,42,26,0,0.000,0,0,0.075,0.004,-0.060,0.020,0.040,-0.003,-0.042,1.000,0.000,-0.004,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,64,64,0,134502.373,0.992,0.024,0.104,0.064,71,67,77,69,28,0,43,43,0,0.000,0,0,0.075,0.008,-0.060,0.020,0.040,-0.002,-0.042,1.000,0.000,-0.008,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,64,64,0,134507.373,0.992,0.024,0.104,0.064,49,70,88,43,39,6,73,40,0,0.000,0,0,0.028,0.008,0.000,0.020,-0.020,-0.003,-0.041,1.000,0.000,-0.008,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
