condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,48,48,0,1824319.739,0.585,-0.103,-0.055,0.802,3640,0,85,2991,0,304,18,567,3,0.000,344,1,1.316,0.176,-1.180,0.500,0.300,-0.242,0.022,0.980,-0.110,0.138,0.036,0.000,0.000,0.515,0.753,2,NULL,NULL,1089.000,1,0,1,7,255,450,250,0,0
stim,48,48,0,1824324.738,0.585,-0.103,-0.055,0.802,3655,0,85,2982,0,311,18,573,3,0.000,344,1,0.838,0.153,-0.560,0.620,-0.060,-0.223,0.052,0.974,-0.066,0.138,0.036,0.000,0.000,0.515,0.753,2,NULL,NULL,,1,0,1,7,255,450,250,0,0
stim,48,48,0,1824329.738,0.585,-0.103,-0.054,0.802,3651,0,79,2987,0,308,17,575,3,0.000,344,1,1.053,0.181,0.220,0.940,0.420,-0.218,0.053,0.974,0.148,-0.104,-0.024,0.000,0.000,0.515,0.753,2,NULL,NULL,,1,0,1,7,255,450,250,0,0
stim,72,72,0,1824334.738,0.585,-0.103,-0.055,0.802,3671,0,84,2999,0,312,18,585,3,0.000,344,1,1.141,0.181,0.220,1.060,0.360,-0.228,0.030,0.977,0.148,-0.104,-0.024,0.000,0.000,0.515,0.753,2,NULL,NULL,,1,0,1,7,255,450,250,0,0
stim,72,72,0,1824339.738,0.585,-0.103,-0.055,0.802,3669,0,84,2997,0,311,17,585,3,0.000,344,1,1.652,0.042,0.340,1.060,1.220,-0.231,0.022,0.979,-0.042,0.000,0.006,0.000,0.000,0.515,0.753,2,NULL,NULL,,1,0,1,7,255,450,250,0,0
stim,72,72,0,1824344.738,0.586,-0.103,-0.055,0.802,3669,0,85,2987,0,313,19,587,3,0.000,344,1,1.916,0.075,0.600,1.000,1.520,-0.232,0.026,0.979,-0.062,0.042,0.032,0.000,0.000,0.515,0.753,2,NULL,NULL,,1,0,1,7,255,450,250,0,0
stim,72,72,0,1824349.738,0.586,-0.104,-0.055,0.802,3668,0,86,2991,0,311,17,585,3,0.000,344,1,1.406,0.075,-0.080,1.060,0.920,-0.231,0.030,0.979,-0.062,0.042,0.038,0.000,0.000,0.515,0.753,2,NULL,NULL,,1,0,1,7,255,450,250,0,0
stim,72,72,0,1824354.738,0.586,-0.104,-0.055,0.802,3669,0,86,3003,0,310,12,588,3,0.000,344,1,2.218,0.040,1.380,0.940,1.460,-0.231,0.031,0.977,-0.030,0.026,0.038,0.000,0.000,0.515,0.753,2,NULL,NULL,,1,0,1,7,255,450,250,0,0
stim,72,72,0,1824359.739,0.586,-0.104,-0.055,0.802,3659,0,89,2999,0,311,16,586,3,0.000,344,1,2.105,0.040,0.900,1.060,1.580,-0.231,0.029,0.973,-0.030,0.026,0.020,0.000,0.000,0.515,0.753,2,NULL,NULL,,1,0,1,7,255,450,250,0,0
stim,72,72,0,1824364.740,0.586,-0.104,-0.055,0.802,3661,0,87,2999,0,311,17,587,3,0.000,344,1,2.624,0.041,0.960,1.060,2.200,-0.227,0.029,0.971,-0.032,0.026,-0.024,0.000,0.000,0.515,0.753,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,72,72,0,1824369.739,0.586,-0.104,-0.055,0.802,3675,0,89,3007,0,312,19,590,3,0.000,344,1,2.550,0.032,0.960,1.000,2.140,-0.225,0.038,0.974,-0.032,0.004,-0.024,0.000,0.000,0.515,0.753,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,72,72,0,1824374.738,0.586,-0.104,-0.054,0.802,3661,0,88,2999,0,311,18,589,3,0.000,344,1,1.961,0.054,1.020,0.820,1.460,-0.232,0.053,0.982,0.028,-0.046,-0.020,0.000,0.000,0.515,0.753,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,72,72,0,1824379.738,0.586,-0.104,-0.054,0.802,3659,0,89,3012,0,309,22,584,3,0.000,344,1,1.630,0.176,1.080,0.940,0.780,-0.244,0.050,0.986,0.170,-0.046,0.074,0.000,0.000,0.515,0.753,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,72,72,0,1824384.738,0.586,-0.104,-0.055,0.802,3661,0,89,2999,0,309,19,583,3,0.000,344,1,2.150,0.182,0.660,1.300,1.580,-0.243,0.012,0.974,0.170,0.064,0.074,0.000,0.000,0.515,0.753,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,73,73,0,1824389.738,0.586,-0.104,-0.055,0.802,3661,0,89,3003,0,304,17,581,3,0.000,344,1,4.174,0.184,-0.140,1.480,3.900,-0.218,-0.007,0.959,-0.172,0.064,0.010,0.000,0.000,0.515,0.753,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,73,73,0,1824394.738,0.586,-0.104,-0.055,0.802,3665,0,90,3013,0,302,15,573,3,0.000,344,1,4.210,0.179,0.960,1.060,3.960,-0.213,0.055,0.972,-0.172,0.050,-0.064,0.000,0.000,0.515,0.753,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,73,73,0,1824399.738,0.586,-0.104,-0.054,0.802,3657,0,92,3004,0,299,19,573,3,0.000,344,1,3.311,0.177,3.220,0.680,0.360,-0.245,0.097,0.995,0.152,-0.090,-0.064,0.000,0.000,0.515,0.753,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,73,73,0,1824404.738,0.586,-0.104,-0.054,0.802,3668,0,91,3001,0,302,18,571,3,0.000,344,1,1.469,0.177,0.280,1.360,0.480,-0.247,-0.003,0.979,0.152,-0.090,0.064,0.000,0.000,0.515,0.753,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,73,73,0,1824409.738,0.586,-0.104,-0.055,0.801,3657,0,91,3015,0,301,13,571,3,0.000,344,1,6.210,0.314,-1.300,1.980,5.740,-0.209,-0.021,0.946,-0.312,0.032,0.064,0.000,0.000,0.515,0.753,2,NULL,NULL,,1,0,1,7,255,,250,0,0
