condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,15,15,0,584707.373,0.994,0.015,0.105,-0.007,47,62,82,55,15,0,55,31,0,0.000,0,0,0.110,0.000,-0.100,0.020,-0.040,-0.004,-0.042,1.001,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,1188.000,1,0,2,7,255,,250,0,0
stim,15,15,0,584712.373,0.994,0.015,0.105,-0.007,77,84,53,63,38,0,38,22,0,0.000,0,0,0.049,0.004,-0.040,0.020,0.020,-0.005,-0.042,1.000,0.000,-0.004,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,31,31,0,584717.373,0.994,0.015,0.105,-0.007,40,62,73,27,30,21,53,21,0,0.000,0,0,0.104,0.004,-0.100,0.020,0.020,-0.003,-0.042,1.000,0.000,-0.004,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,31,31,0,584722.373,0.994,0.015,0.105,-0.007,55,85,71,37,43,7,56,13,0,0.000,0,0,0.110,0.004,-0.100,0.020,-0.040,-0.004,-0.041,1.001,0.000,-0.004,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,31,31,0,584727.373,0.994,0.015,0.105,-0.007,45,55,75,33,17,0,52,33,0,0.000,0,0,0.069,0.000,-0.040,-0.040,-0.040,-0.004,-0.041,1.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,31,31,0,584732.373,0.994,0.015,0.105,-0.007,46,63,79,39,23,1,60,35,0,0.000,0,0,0.104,0.000,-0.100,0.020,0.020,-0.003,-0.041,1.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,47,47,0,584737.373,0.994,0.015,0.105,-0.007,21,69,75,31,13,0,56,33,0,0.000,0,0,0.110,0.000,-0.100,0.020,-0.040,-0.004,-0.041,1.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,47,47,0,584742.373,0.994,0.015,0.105,-0.007,75,71,49,59,28,6,35,11,0,0.000,0,0,0.115,0.000,-0.100,-0.040,-0.040,-0.004,-0.042,1.000,0.000,0.000,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,79,79,0,584747.373,0.994,0.015,0.105,-0.007,43,53,71,39,37,39,53,26,0,0.000,0,0,0.104,0.004,-0.100,0.020,0.020,-0.003,-0.042,1.000,0.000,-0.004,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,79,79,0,584752.373,0.994,0.015,0.105,-0.007,69,61,56,63,19,0,35,41,0,0.000,0,0,0.110,0.004,-0.100,0.020,-0.040,-0.004,-0.042,1.000,0.000,-0.004,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,80,80,0,584757.373,0.994,0.015,0.105,-0.007,51,61,77,45,23,0,61,41,0,0.000,0,0,0.092,0.004,-0.040,0.080,0.020,-0.005,-0.041,1.001,0.000,-0.004,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,80,80,0,584762.375,0.994,0.015,0.105,-0.007,74,67,48,72,18,0,34,35,0,0.000,0,0,0.104,0.000,-0.100,0.020,0.020,-0.004,-0.041,1.001,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,80,80,0,584767.373,0.994,0.015,0.105,-0.007,56,87,55,39,47,13,59,17,0,0.000,0,0,0.110,0.010,-0.100,0.020,-0.040,-0.005,-0.042,1.000,-0.010,0.000,0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,80,80,0,584772.373,0.994,0.015,0.105,-0.007,54,85,73,37,39,0,61,16,0,0.000,0,0,0.060,0.008,-0.040,0.020,-0.040,-0.004,-0.041,1.000,-0.006,0.006,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,96,96,0,584777.375,0.994,0.015,0.105,-0.007,40,48,79,29,33,0,59,25,0,0.000,0,0,0.104,0.006,-0.100,0.020,0.020,-0.004,-0.041,1.000,-0.006,0.000,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,96,96,0,584782.373,0.994,0.015,0.105,-0.007,75,89,55,43,41,2,40,13,0,0.000,0,0,0.143,0.006,-0.100,0.020,-0.100,-0.004,-0.041,0.999,-0.006,0.000,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,96,96,0,584787.373,0.994,0.015,0.105,-0.007,48,61,82,43,21,0,61,42,0,0.000,0,0,0.104,0.006,-0.100,0.020,0.020,-0.003,-0.040,1.000,-0.006,0.000,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,96,96,0,584792.373,0.994,0.015,0.105,-0.007,81,93,52,61,23,0,37,22,0,0.000,0,0,0.110,0.006,-0.100,-0.040,0.020,-0.004,-0.042,1.000,-0.006,0.000,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,111,111,0,584797.373,0.994,0.015,0.105,-0.007,51,61,82,61,25,0,47,43,0,0.000,0,0,0.049,0.006,0.020,0.020,-0.040,-0.004,-0.041,1.000,-0.006,0.000,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,111,111,0,584802.373,0.994,0.015,0.105,-0.007,49,59,75,30,18,1,57,26,0,0.000,0,0,0.060,0.006,-0.040,0.020,-0.040,-0.004,-0.041,1.000,-0.006,0.000,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,111,111,0,584807.373,0.994,0.015,0.105,-0.007,57,55,58,55,3,0,26,30,0,0.000,0,0,0.110,0.006,-0.100,-0.040,0.020,-0.003,-0.041,1.000,-0.006,0.000,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,111,111,0,584812.373,0.994,0.015,0.105,-0.007,54,85,51,37,40,1,55,12,0,0.000,0,0,0.049,0.007,-0.040,0.020,0.020,-0.003,-0.040,1.001,0.004,0.006,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,130,130,0,584817.374,0.994,0.015,0.105,-0.007,53,61,77,67,22,0,40,41,0,0.000,0,0,0.049,0.011,-0.040,0.020,0.020,-0.004,-0.040,1.000,0.004,0.010,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,130,130,0,584822.373,0.994,0.015,0.105,-0.007,72,62,77,59,21,0,45,41,0,0.000,0,0,0.110,0.010,-0.100,-0.040,0.020,-0.005,-0.041,1.000,0.000,0.010,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,130,130,0,584827.373,0.994,0.015,0.105,-0.007,81,91,47,45,31,1,29,19,0,0.000,0,0,0.060,0.006,-0.040,-0.040,0.020,-0.004,-0.041,1.000,-0.006,0.000,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
