condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,14,14,0,1451437.399,0.813,0.058,0.085,0.573,0,0,0,0,0,0,0,0,69,0.000,2,0,0.273,0.021,0.080,0.140,0.220,0.001,-0.010,1.001,0.006,0.020,-0.002,0.000,0.000,0.000,0.000,2,NULL,NULL,1014.000,4,0,0,7,255,,0,0,0
stim,62,62,0,1451442.398,0.813,0.058,0.085,0.573,0,0,0,0,0,0,0,0,69,0.000,2,0,0.463,0.042,0.280,-0.360,-0.080,0.003,-0.014,1.001,0.002,-0.042,0.002,0.000,0.000,0.000,0.000,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,62,62,0,1451447.417,0.813,0.058,0.085,0.573,0,0,0,0,0,0,0,0,69,0.000,2,0,0.942,0.042,-0.640,0.260,0.640,-0.025,0.007,1.000,0.002,-0.042,-0.002,0.000,0.000,0.000,0.000,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,62,62,0,1451452.415,0.813,0.059,0.085,0.573,0,0,0,0,0,0,0,0,69,0.000,2,0,0.987,0.080,0.400,0.200,-0.880,0.021,-0.021,1.000,-0.026,-0.076,-0.006,0.000,0.000,0.000,0.000,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,62,62,0,1451457.415,0.813,0.059,0.085,0.573,0,0,0,0,0,0,0,0,69,0.000,2,0,1.919,0.166,0.080,-0.660,1.800,-0.019,-0.002,1.002,0.010,0.166,-0.006,0.000,0.000,0.000,0.000,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,62,62,0,1451462.415,0.813,0.059,0.085,0.573,0,0,0,0,0,0,0,0,69,0.000,2,0,1.547,0.053,-0.400,0.620,-1.360,0.003,-0.008,1.002,0.010,-0.052,0.008,0.000,0.000,0.000,0.000,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,62,62,0,1451467.415,0.813,0.058,0.085,0.573,0,0,0,0,0,0,0,0,69,0.000,2,0,1.445,0.127,0.080,-0.420,1.380,-0.014,-0.001,1.000,0.028,0.124,0.008,0.000,0.000,0.000,0.000,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,62,62,0,1451472.415,0.813,0.059,0.085,0.573,0,0,0,0,0,0,0,0,69,0.000,2,0,1.211,0.059,0.080,0.260,-1.180,0.016,-0.024,1.000,0.028,-0.052,-0.006,0.000,0.000,0.000,0.000,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,62,62,0,1451477.415,0.813,0.058,0.085,0.573,0,0,0,0,0,0,0,0,69,0.000,2,0,1.941,0.129,-0.280,-0.480,1.860,-0.028,0.011,1.002,0.036,0.124,-0.006,0.000,0.000,0.000,0.000,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,62,62,0,1451482.417,0.813,0.059,0.085,0.573,0,0,0,0,0,0,0,0,69,0.000,2,0,2.385,0.186,-0.160,0.680,-2.280,0.015,-0.015,1.000,0.004,-0.186,-0.008,0.000,0.000,0.000,0.000,2,NULL,NULL,,4,0,0,7,255,,0,0,0
