condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,47,47,0,1454020.233,0.234,-0.094,-0.002,0.968,0,0,0,1293,141,0,0,0,90,0.000,290,0,0.425,0.111,-0.400,0.080,-0.120,-0.187,0.029,0.985,0.044,0.102,0.054,0.000,0.000,0.301,0.338,2,NULL,NULL,1089.000,0,0,0,7,255,450,250,0,0
stim,47,47,0,1454025.234,0.234,-0.094,-0.002,0.968,0,0,0,1280,85,0,0,0,90,0.000,290,0,0.696,0.102,-0.220,0.020,-0.660,-0.174,0.047,0.978,-0.010,0.102,0.008,0.000,0.000,0.301,0.338,2,NULL,NULL,,0,0,0,7,255,450,250,0,0
stim,47,47,0,1454030.233,0.234,-0.094,-0.002,0.968,0,0,0,1292,45,0,0,0,90,0.000,290,0,0.651,0.106,-0.220,0.380,-0.480,-0.177,0.051,0.980,-0.010,-0.106,-0.046,0.000,0.000,0.301,0.338,2,NULL,NULL,,0,0,0,7,255,450,250,0,0
stim,47,47,0,1454035.233,0.234,-0.094,-0.002,0.968,0,0,0,1299,28,0,0,0,90,0.000,290,0,0.692,0.107,-0.520,0.440,-0.120,-0.187,0.044,0.987,0.014,-0.106,-0.046,0.000,0.000,0.301,0.338,2,NULL,NULL,,0,0,0,7,255,450,250,0,0
stim,47,47,0,1454040.233,0.234,-0.094,-0.002,0.968,0,0,0,1296,18,0,0,0,90,0.000,290,0,0.751,0.035,-0.700,0.260,0.080,-0.187,0.038,0.987,0.024,-0.026,0.030,0.000,0.000,0.301,0.338,2,NULL,NULL,,0,0,0,7,255,450,250,0,0
stim,47,47,0,1454045.233,0.234,-0.094,-0.002,0.968,0,0,0,1303,6,0,0,0,90,0.000,290,0,0.625,0.033,-0.580,0.200,-0.120,-0.185,0.037,0.985,0.024,0.022,0.030,0.000,0.000,0.301,0.338,2,NULL,NULL,,0,0,0,7,255,450,250,0,0
stim,47,47,0,1454050.233,0.234,-0.094,-0.002,0.968,0,0,0,1303,0,0,0,0,90,0.000,290,0,0.754,0.023,-0.520,0.080,-0.540,-0.184,0.036,0.985,0.006,0.022,0.012,0.000,0.000,0.301,0.338,2,NULL,NULL,,0,0,0,7,255,450,250,0,0
stim,47,47,0,1454055.233,0.234,-0.094,-0.002,0.968,0,0,0,1301,0,0,0,0,90,0.000,290,0,0.805,0.027,-0.460,0.020,-0.660,-0.187,0.038,0.984,0.006,0.026,0.010,0.000,0.000,0.301,0.338,2,NULL,NULL,,0,0,0,7,255,450,250,0,0
stim,47,47,0,1454060.233,0.234,-0.094,-0.002,0.968,0,0,0,1303,0,0,0,0,90,0.000,290,0,0.916,0.041,-0.780,0.020,-0.480,-0.189,0.035,0.986,0.028,0.030,0.010,0.000,0.000,0.301,0.338,2,NULL,NULL,,0,0,0,7,255,450,250,0,0
stim,47,47,0,1454065.235,0.234,-0.094,-0.002,0.968,0,0,0,1300,0,0,0,0,90,0.000,290,0,1.281,0.063,-1.260,0.200,-0.120,-0.188,0.034,0.990,0.028,0.056,0.024,0.000,0.000,0.301,0.338,2,NULL,NULL,,0,0,0,7,255,,250,0,0
